P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,RP,Anthony Nunez (44217901),Anthony Nunez,44217901,P,4000,TOR@BAL 09/21/2026 06:35PM ET,BAL,3.55
,,,,,,,,,,,RP,Cam Sanders (44217902),Cam Sanders,44217902,P,4000,TOR@BAL 09/21/2026 06:35PM ET,BAL,3.12
,,,,,,,,,,,RP,Jacob Waguespack (44217830),Jacob Waguespack,44217830,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,3.50
,,,,,,,,,,,RP,Sean Guenther (44217831),Sean Guenther,44217831,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,0
,,,,,,,,,,,RP,Brad Lord (44217832),Brad Lord,44217832,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,5.48
,,,,,,,,,,,RP,Riley Cornelio (44217834),Riley Cornelio,44217834,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,5.79
,,,,,,,,,,,RP,Burch Smith (44217835),Burch Smith,44217835,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,3.94
,,,,,,,,,,,RP,Enmanuel De Jesus (44217838),Enmanuel De Jesus,44217838,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,3.74
,,,,,,,,,,,RP,Cole Henry (44217839),Cole Henry,44217839,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,1.87
,,,,,,,,,,,RP,Erik Tolman (44217844),Erik Tolman,44217844,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.96
,,,,,,,,,,,RP,Brenan Hanifee (44217849),Brenan Hanifee,44217849,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,1.08
,,,,,,,,,,,RP,PJ Poulin (44217851),PJ Poulin,44217851,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.72
,,,,,,,,,,,RP,Yovanny Cruz (44217852),Yovanny Cruz,44217852,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,1.62
,,,,,,,,,,,RP,Gus Varland (44217856),Gus Varland,44217856,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,1.59
,,,,,,,,,,,RP,Kyle Nicolas (44217857),Kyle Nicolas,44217857,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,1.13
,,,,,,,,,,,RP,Beau Brieske (44217858),Beau Brieske,44217858,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,3.43
,,,,,,,,,,,RP,Bailey Horn (44217860),Bailey Horn,44217860,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,0
,,,,,,,,,,,RP,Kenley Jansen (44217862),Kenley Jansen,44217862,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,3.12
,,,,,,,,,,,RP,Drew Sommers (44217867),Drew Sommers,44217867,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,3.71
,,,,,,,,,,,RP,Kyle Finnegan (44217868),Kyle Finnegan,44217868,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,1.95
,,,,,,,,,,,RP,Brant Hurter (44217869),Brant Hurter,44217869,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,3.28
,,,,,,,,,,,RP,Will Vest (44217876),Will Vest,44217876,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,2.44
,,,,,,,,,,,RP,Orlando Ribalta (44217877),Orlando Ribalta,44217877,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.61
,,,,,,,,,,,RP,Jack Sinclair (44217883),Jack Sinclair,44217883,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,3.04
,,,,,,,,,,,RP,Tyler Kinley (44217884),Tyler Kinley,44217884,P,4000,WSH@DET 09/21/2026 06:40PM ET,DET,2.68
,,,,,,,,,,,RP,Jake Bird (44217885),Jake Bird,44217885,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.07
,,,,,,,,,,,RP,Clayton Beeter (44217893),Clayton Beeter,44217893,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.72
,,,,,,,,,,,RP,Richard Lovelady (44217899),Richard Lovelady,44217899,P,4000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.21
,,,,,,,,,,,1B,Bryce Eldridge (44217610),Bryce Eldridge,44217610,1B,4000,MIN@SF 09/21/2026 09:45PM ET,SF,7.61
,,,,,,,,,,,RP,Seth Lonsway (44217824),Seth Lonsway,44217824,P,4000,MIN@SF 09/21/2026 09:45PM ET,SF,1.5
,,,,,,,,,,,RP,Rowan Wick (44217825),Rowan Wick,44217825,P,4000,MIN@SF 09/21/2026 09:45PM ET,SF,0
,,,,,,,,,,,RP,Grant Hartwig (44217826),Grant Hartwig,44217826,P,4000,MIN@SF 09/21/2026 09:45PM ET,MIN,0
,,,,,,,,,,,RP,Joel Peguero (44217833),Joel Peguero,44217833,P,4000,MIN@SF 09/21/2026 09:45PM ET,SF,1.81
,,,,,,,,,,,RP,Braxton Roxby (44217837),Braxton Roxby,44217837,P,4000,MIN@SF 09/21/2026 09:45PM ET,SF,0.75
,,,,,,,,,,,RP,Trent Harris (44217843),Trent Harris,44217843,P,4000,MIN@SF 09/21/2026 09:45PM ET,SF,4.03
,,,,,,,,,,,RP,Jason Foley (44217846),Jason Foley,44217846,P,4000,MIN@SF 09/21/2026 09:45PM ET,SF,2.29
